2025/06/29 22:22:27 Kafka producer and consumer initialized
2025/06/29 22:22:27 Producer connection test successful
2025/06/29 22:22:27 Preloading cache with last 100 orders...
2025/06/29 22:22:27 Cache warm-up complete: 100 orders loaded
2025/06/29 22:22:27 Server started on :8080
2025/06/29 22:22:50 Invalid order JSON: invalid character 'e' in literal true (expecting 'r')
2025/06/29 22:22:50 Order 148fa6a2 inserted into DB
2025/06/29 22:22:50 Order 61e0b21d inserted into DB
2025/06/29 22:22:50 Order 514bd50e inserted into DB
2025/06/29 22:22:50 Order ea3b76d4 inserted into DB
2025/06/29 22:22:50 Order deb62d8c inserted into DB
2025/06/29 22:22:50 Order f87f50f4 inserted into DB
2025/06/29 22:23:44 Order 9db55bb8 inserted into DB
2025/06/29 22:23:44 Order 23e5be9e inserted into DB
2025/06/29 22:23:44 Order cd1d74ed inserted into DB
2025/06/29 22:23:44 Order c5be0949 inserted into DB
2025/06/29 22:23:44 Order f478b92f inserted into DB
2025/06/29 22:23:44 Order 787b98be inserted into DB
2025/06/29 22:23:44 Order b0e565da inserted into DB
2025/06/29 22:23:44 Order 32b72fcf inserted into DB
2025/06/29 22:23:44 Order 43def378 inserted into DB
2025/06/29 22:23:44 Order 34c2e1f3 inserted into DB
2025/06/29 22:25:52 Order 2748f08b inserted into DB
2025/06/29 22:25:52 Order c41968c3 inserted into DB
2025/06/29 22:25:52 Order ac1fa7b6 inserted into DB
2025/06/29 22:25:52 Order a4df241a inserted into DB
2025/06/29 22:25:52 Order 257d97f0 inserted into DB
2025/06/29 22:25:52 Order 97879a3f inserted into DB
2025/06/29 22:25:52 Order 2d82b615 inserted into DB
2025/06/29 22:25:52 Order 0e85d8cf inserted into DB
2025/06/29 22:25:52 Order fb859dc8 inserted into DB
2025/06/29 22:25:52 Order e6e67788 inserted into DB
2025/06/29 22:25:52 Order 6de55bfe inserted into DB
2025/06/29 22:25:52 Order a26be70b inserted into DB
2025/06/29 22:25:52 Order db81cc73 inserted into DB
2025/06/29 22:25:52 Order 197265e9 inserted into DB
2025/06/29 22:25:52 Order 4f39f37c inserted into DB
2025/06/29 22:25:52 Order 7b84ff4b inserted into DB
2025/06/29 22:25:52 Order 80cf8af8 inserted into DB
2025/06/29 22:25:52 Order 06364f19 inserted into DB
2025/06/29 22:25:52 Order f200357a inserted into DB
2025/06/29 22:25:53 Order 8cc77f8d inserted into DB
2025/06/29 22:25:53 Order 84da81dc inserted into DB
2025/06/29 22:25:53 Order cbf20910 inserted into DB
2025/06/29 22:25:53 Order 8ecc2013 inserted into DB
2025/06/29 22:25:53 Order 077eec8a inserted into DB
2025/06/29 22:25:53 Order 9cb2bf00 inserted into DB
2025/06/29 22:25:53 Order 587d2a1f inserted into DB
2025/06/29 22:25:53 Order 9f37e78d inserted into DB
2025/06/29 22:25:53 Order c419c2d6 inserted into DB
2025/06/29 22:25:53 Order 3ef47c84 inserted into DB
2025/06/29 22:25:53 Order 8f8e24c4 inserted into DB
2025/06/29 22:25:53 Order 6b4dddb9 inserted into DB
2025/06/29 22:25:53 Order ea342466 inserted into DB
2025/06/29 22:25:53 Order 1f9bec10 inserted into DB
2025/06/29 22:25:53 Order 7944ce84 inserted into DB
2025/06/29 22:25:53 Order 232594b4 inserted into DB
2025/06/29 22:25:53 Order 77564974 inserted into DB
2025/06/29 22:25:53 Order e33835f8 inserted into DB
2025/06/29 22:25:53 Order 93adc15d inserted into DB
2025/06/29 22:25:53 Order d7ebd42c inserted into DB
2025/06/29 22:25:53 Order 80f6f584 inserted into DB
2025/06/29 22:25:53 Order 57bdecf4 inserted into DB
2025/06/29 22:25:53 Order e92c6aab inserted into DB
2025/06/29 22:25:54 Order a99a3696 inserted into DB
2025/06/29 22:25:54 Order 9395cb2c inserted into DB
2025/06/29 22:25:54 Order b168fe3a inserted into DB
2025/06/29 22:25:54 Order 0bf45f07 inserted into DB
2025/06/29 22:25:54 Order 0c53ccdc inserted into DB
2025/06/29 22:25:54 Order 2b4b9b54 inserted into DB
2025/06/29 22:25:54 Order 01ad0cab inserted into DB
2025/06/29 22:25:54 Order ce407442 inserted into DB
2025/06/29 22:25:54 Order 74277c13 inserted into DB
2025/06/29 22:25:54 Order 5e1eec0a inserted into DB
2025/06/29 22:25:54 Order 0c571652 inserted into DB
2025/06/29 22:25:54 Order 6c29d4ae inserted into DB
2025/06/29 22:25:54 Order 33ac9828 inserted into DB
2025/06/29 22:25:54 Order e3c6ec67 inserted into DB
2025/06/29 22:25:54 Order 57b5f58e inserted into DB
2025/06/29 22:25:54 Order 09943aa6 inserted into DB
2025/06/29 22:25:54 Order cc821e5e inserted into DB
2025/06/29 22:25:55 Order 9110a71d inserted into DB
2025/06/29 22:25:55 Order 508e099a inserted into DB
2025/06/29 22:25:55 Order 12de1257 inserted into DB
2025/06/29 22:25:55 Order 01f5964e inserted into DB
2025/06/29 22:25:55 Order 68c931fb inserted into DB
2025/06/29 22:25:55 Order 793e4af7 inserted into DB
2025/06/29 22:25:55 Order a626700e inserted into DB
2025/06/29 22:25:55 Order ac6c9807 inserted into DB
2025/06/29 22:25:55 Order 24798074 inserted into DB
2025/06/29 22:25:55 Order 3a51cd82 inserted into DB
2025/06/29 22:25:55 Order 5bd7673d inserted into DB
2025/06/29 22:25:55 Order 0eb36db6 inserted into DB
2025/06/29 22:25:55 Order ace318ff inserted into DB
2025/06/29 22:25:55 Order 5553b120 inserted into DB
2025/06/29 22:25:55 Order 1066afea inserted into DB
2025/06/29 22:25:55 Order 3d16ecde inserted into DB
2025/06/29 22:25:55 Order 9675cee3 inserted into DB
2025/06/29 22:25:55 Order 6ea3d682 inserted into DB
2025/06/29 22:25:55 Order 1bc171af inserted into DB
2025/06/29 22:25:55 Order 79a5ff2a inserted into DB
2025/06/29 22:25:55 Order a8d366cd inserted into DB
2025/06/29 22:25:55 Order f3f11b95 inserted into DB
2025/06/29 22:25:55 Order 70c4f928 inserted into DB
2025/06/29 22:25:55 Order 1e996980 inserted into DB
2025/06/29 22:25:55 Order 124afed5 inserted into DB
2025/06/29 22:25:56 Order c64e2fa3 inserted into DB
2025/06/29 22:25:56 Order c3146148 inserted into DB
2025/06/29 22:25:56 Order 868e7514 inserted into DB
2025/06/29 22:25:56 Order 51b6fcb3 inserted into DB
2025/06/29 22:25:56 Order 300bb795 inserted into DB
2025/06/29 22:25:56 Order b5834b29 inserted into DB
2025/06/29 22:25:56 Order e2e7da5b inserted into DB
2025/06/29 22:25:56 Order c4d53b2b inserted into DB
2025/06/29 22:25:56 Order aca0b7ee inserted into DB
2025/06/29 22:25:56 Order e3f45477 inserted into DB
2025/06/29 22:25:56 Order 8e659c37 inserted into DB
2025/06/29 22:25:56 Order 586a1a4f inserted into DB
2025/06/29 22:25:56 Order b6d3c50c inserted into DB
2025/06/29 22:25:56 Order 0d209fbf inserted into DB
2025/06/29 22:25:56 Order 69fb0c5d inserted into DB
2025/06/29 22:25:56 Order 0dd24b99 inserted into DB
2025/06/29 22:25:56 Order 002ddff9 inserted into DB
2025/06/29 22:25:56 Order 89ff3150 inserted into DB
2025/06/29 22:25:56 Order 04ea96f9 inserted into DB
2025/06/29 22:25:56 Order 871abe21 inserted into DB
2025/06/29 22:25:56 Order 2982da0a inserted into DB
2025/06/29 22:25:56 Order 92c6b214 inserted into DB
2025/06/29 22:25:56 Order 0cb44e0e inserted into DB
2025/06/29 22:25:56 Order 78dd88c6 inserted into DB
2025/06/29 22:25:56 Order 64ff8ddf inserted into DB
2025/06/29 22:25:56 Order 0e04839e inserted into DB
2025/06/29 22:25:56 Order 6dd77483 inserted into DB
2025/06/29 22:25:56 Order 1d47cc3d inserted into DB
2025/06/29 22:25:57 Order 92f2a64b inserted into DB
2025/06/29 22:25:57 Order c33b7466 inserted into DB
2025/06/29 22:25:57 Order d097ca7a inserted into DB
2025/06/29 22:25:57 Order 6f9851bf inserted into DB
2025/06/29 22:25:57 Order 87443130 inserted into DB
2025/06/29 22:25:57 Order fe1a0bb2 inserted into DB
2025/06/29 22:25:57 Order f240b2f5 inserted into DB
2025/06/29 22:25:57 Order c915583b inserted into DB
2025/06/29 22:25:57 Order f972b51b inserted into DB
2025/06/29 22:25:57 Order 07dab980 inserted into DB
2025/06/29 22:25:57 Order 4b4a1b70 inserted into DB
2025/06/29 22:25:57 Order c84b0f94 inserted into DB
2025/06/29 22:25:57 Order 3d0a3397 inserted into DB
2025/06/29 22:25:57 Order fefa6786 inserted into DB
2025/06/29 22:25:57 Order bda29c6c inserted into DB
2025/06/29 22:25:57 Order b6898e06 inserted into DB
2025/06/29 22:25:57 Order f1af2364 inserted into DB
2025/06/29 22:25:57 Order 9185969b inserted into DB
2025/06/29 22:25:57 Order e6066f37 inserted into DB
2025/06/29 22:25:57 Order a578611a inserted into DB
2025/06/29 22:25:57 Order 596a26dd inserted into DB
2025/06/29 22:25:57 Order e9149e50 inserted into DB
2025/06/29 22:25:57 Order f5d0a4fa inserted into DB
2025/06/29 22:25:57 Order 2ed75aac inserted into DB
2025/06/29 22:25:57 Order 4614d76e inserted into DB
2025/06/29 22:25:57 Order 012ae652 inserted into DB
2025/06/29 22:25:57 Order baa0bb87 inserted into DB
2025/06/29 22:25:57 Order ee79b14d inserted into DB
2025/06/29 22:25:58 Order fac25a4f inserted into DB
2025/06/29 22:25:58 Order ff1d864c inserted into DB
2025/06/29 22:25:58 Order 0dab6b10 inserted into DB
2025/06/29 22:25:58 Order bd23560e inserted into DB
2025/06/29 22:25:58 Order bc13f6e1 inserted into DB
2025/06/29 22:25:58 Order e3d90d94 inserted into DB
2025/06/29 22:25:58 Order bfc28163 inserted into DB
2025/06/29 22:25:58 Order 800115f6 inserted into DB
2025/06/29 22:25:58 Order f8899021 inserted into DB
2025/06/29 22:25:58 Order 92a5ada2 inserted into DB
2025/06/29 22:25:58 Order ccea1075 inserted into DB
2025/06/29 22:25:58 Order 6de558e4 inserted into DB
2025/06/29 22:25:58 Order 435e449d inserted into DB
2025/06/29 22:25:58 Order 4ee9d97c inserted into DB
2025/06/29 22:25:58 Order 7ad473eb inserted into DB
2025/06/29 22:25:58 Order 2346cda5 inserted into DB
2025/06/29 22:25:58 Order 3ee7a407 inserted into DB
2025/06/29 22:25:58 Order 65c9ef1a inserted into DB
2025/06/29 22:25:58 Order 0a32feaf inserted into DB
2025/06/29 22:25:58 Order c5185fee inserted into DB
2025/06/29 22:25:58 Order d9104c4f inserted into DB
2025/06/29 22:25:58 Order 01376b26 inserted into DB
2025/06/29 22:25:58 Order af2c1fcc inserted into DB
2025/06/29 22:25:58 Order 6dea53cf inserted into DB
2025/06/29 22:25:58 Order b24ffc63 inserted into DB
2025/06/29 22:25:58 Order d1e833b7 inserted into DB
2025/06/29 22:25:58 Order 416db442 inserted into DB
2025/06/29 22:25:58 Order 61cec4c5 inserted into DB
2025/06/29 22:25:59 Order e2670432 inserted into DB
2025/06/29 22:25:59 Order 7249298b inserted into DB
2025/06/29 22:25:59 Order 79650797 inserted into DB
2025/06/29 22:25:59 Order a6deb2ad inserted into DB
2025/06/29 22:25:59 Order 843fea4f inserted into DB
2025/06/29 22:25:59 Order 47cebcc1 inserted into DB
2025/06/29 22:25:59 Order fdd2254b inserted into DB
2025/06/29 22:25:59 Order 074f312b inserted into DB
2025/06/29 22:25:59 Order c5203e7f inserted into DB
2025/06/29 22:25:59 Order c2023738 inserted into DB
2025/06/29 22:25:59 Order 24396e7b inserted into DB
2025/06/29 22:25:59 Order 4303bc98 inserted into DB
2025/06/29 22:25:59 Order d2e56749 inserted into DB
2025/06/29 22:25:59 Order e4fb20d0 inserted into DB
2025/06/29 22:25:59 Order 94efdac2 inserted into DB
2025/06/29 22:25:59 Order 51f35d55 inserted into DB
2025/06/29 22:25:59 Order d1a5c522 inserted into DB
2025/06/29 22:25:59 Order b1ae3d19 inserted into DB
2025/06/29 22:25:59 Order 4a7d3067 inserted into DB
2025/06/29 22:25:59 Order 518c24f7 inserted into DB
2025/06/29 22:25:59 Order 302bc9e4 inserted into DB
2025/06/29 22:25:59 Order ecfa1e63 inserted into DB
2025/06/29 22:25:59 Order 3710611f inserted into DB
2025/06/29 22:25:59 Order 4f316a17 inserted into DB
2025/06/29 22:25:59 Order b8648784 inserted into DB
2025/06/29 22:25:59 Order f06c942e inserted into DB
